Name,Pos,Rank,Tier,ECR,Team,Bye
Patrick Mahomes,QB,1,1,3|06,KC,12
Josh Allen,QB,2,1,4|07,BUF,7
Kyler Murray,QB,3,1,5|06,ARI,12
Lamar Jackson,QB,4,1,5|08,BAL,8
Dak Prescott,QB,5,2,6|02,DAL,7
Russell Wilson,QB,6,2,6|10,SEA,9
Aaron Rodgers,QB,7,3,6|12,GB,13
Tom Brady,QB,8,3,8|06,TB,9
Justin Herbert,QB,9,3,7|05,LAC,7
Jalen Hurts,QB,10,3,8|10,PHI,14
Ryan Tannehill,QB,11,4,8|06,TEN,13
Joe Burrow,QB,12,4,9|09,CIN,10
Matthew Stafford,QB,13,4,9|04,LAR,11
Matt Ryan,QB,14,4,11|02,ATL,6
Kirk Cousins,QB,15,5,11|05,MIN,7
Trevor Lawrence,QB,16,5,11|02,JAX,7
Derek Carr,QB,17,5,14|10,LV,8
Baker Mayfield,QB,18,5,12|09,CLE,13
Tua Tagovailoa,QB,19,5,13|02,MIA,14
Daniel Jones,QB,20,5,14|05,NYG,10
Ryan Fitzpatrick,QB,21,5,13|03,WAS,9
Ben Roethlisberger,QB,22,5,13|10,PIT,7
Sam Darnold,QB,23,6,16|06,CAR,13
Jared Goff,QB,24,6,18|08,DET,9
Zach Wilson,QB,25,6,17|05,NYJ,6
Deshaun Watson,QB,26,7,21|11,HOU,10
Justin Fields,QB,27,7,14|08,CHI,10
Carson Wentz,QB,28,7,17|06,IND,14
Trey Lance,QB,29,7,16|03,SF,6
Jameis Winston,QB,30,8,19|12,NO,6
Cam Newton,QB,31,8,18|12,NE,14
Teddy Bridgewater,QB,32,9,24|04,DEN,11
Tyrod Taylor,QB,33,9,24|02,HOU,10
Drew Lock,QB,34,10,25|02,DEN,11
Andy Dalton,QB,35,10,27|07,CHI,10
Mac Jones,QB,36,10,25|12,NE,14
Christian McCaffrey,RB,1,1,1|01,CAR,13
Dalvin Cook,RB,2,2,1|02,MIN,7
Alvin Kamara,RB,3,2,1|04,NO,6
Derrick Henry,RB,4,2,1|04,TEN,13
Saquon Barkley,RB,5,3,1|10,NYG,10
Ezekiel Elliott,RB,6,3,1|05,DAL,7
Aaron Jones,RB,7,3,1|08,GB,13
Nick Chubb,RB,8,4,1|11,CLE,13
Jonathan Taylor,RB,9,4,2|01,IND,14
Austin Ekeler,RB,10,4,2|01,LAC,7
Joe Mixon,RB,11,4,2|07,CIN,10
Najee Harris,RB,12,4,2|09,PIT,7
Antonio Gibson,RB,13,4,2|06,WAS,9
Clyde Edwards-Helaire,RB,14,4,3|01,KC,12
Chris Carson,RB,15,4,3|07,SEA,9
DAndre Swift,RB,16,4,3|08,DET,9
David Montgomery,RB,17,5,3|08,CHI,10
JK Dobbins,RB,18,5,3|07,BAL,8
Josh Jacobs,RB,19,5,4|07,LV,8
Miles Sanders,RB,20,5,4|04,PHI,14
Darrell Henderson,RB,21,5,4|06,LAR,11
Mike Davis,RB,22,5,5|01,ATL,6
Myles Gaskin,RB,23,6,5|03,MIA,14
Chase Edmonds,RB,24,6,6|03,ARI,12
Kareem Hunt,RB,25,6,5|04,CLE,13
Travis Etienne,RB,26,6,5|05,JAX,7
Raheem Mostert,RB,27,6,6|11,SF,6
Melvin Gordon,RB,28,6,7|02,DEN,11
Javonte Williams,RB,29,7,6|03,DEN,11
James Conner,RB,30,7,8|03,ARI,12
Damien Harris,RB,31,7,6|07,NE,14
James Robinson,RB,32,7,6|12,JAX,7
Leonard Fournette,RB,33,7,8|03,TB,9
David Johnson,RB,34,7,8|02,HOU,10
Ronald Jones,RB,35,7,7|05,TB,9
Kenyan Drake,RB,36,7,9|01,LV,8
Trey Sermon,RB,37,7,7|07,SF,6
Zack Moss,RB,38,7,8|04,BUF,7
Michael Carter,RB,39,7,7|02,NYJ,6
Devin Singletary,RB,40,7,10|03,BUF,7
Jamaal Williams,RB,41,7,9|10,DET,9
Gus Edwards,RB,42,7,9|06,BAL,8
