Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
Patrick Mahomes,QB,KC/12,6.14,1.18,1,1,3|06,30,-0.833333333,0.85,QB:15
Josh Allen,QB,BUF/7,5.56,1.06,2,1,4|07,43.5,-0.75,0.71,RB:45
Kyler Murray,QB,ARI/12,5.4,1.67,3,1,5|06,54.4,-1.166666667,0.58,WR:55
Lamar Jackson,QB,BAL/8,4.98,1.02,4,1,5|08,56.3,-0.916666667,0.45,TE:18
Dak Prescott,QB,DAL/7,3.52,1.16,5,2,6|02,62.4,-0.666666667,0.36,
Russell Wilson,QB,SEA/9,3.36,0.84,6,2,6|10,70.8,-0.666666667,0.28,
Aaron Rodgers,QB,GB/13,2.88,0.89,7,3,6|12,72.9,-0.75,0.21,
Tom Brady,QB,TB/9,2.54,1.12,8,3,8|06,90.5,-1.333333333,0.15,
Justin Herbert,QB,LAC/7,2.01,2.94,9,3,7|05,77.8,-1.416666667,0.1,
Jalen Hurts,QB,PHI/14,1.99,1.06,10,3,8|10,94.2,-1.25,0.05,
Ryan Tannehill,QB,TEN/13,1.27,1.01,11,4,8|06,90.7,0,0.02,
Joe Burrow,QB,CIN/10,0.56,1.09,12,4,9|09,105.7,-0.25,0,
Matthew Stafford,QB,LAR/11,0.06,1.03,13,4,9|04,100.2,-0.5,0,
Matt Ryan,QB,ATL/6,-0.13,1.01,14,4,11|02,122.5,0.5,0,
Kirk Cousins,QB,MIN/7,-0.39,0.83,15,5,11|05,125.4,1.166666667,0,
Trevor Lawrence,QB,JAX/7,-0.72,1.12,16,5,11|02,122.7,0.583333333,0,
Derek Carr,QB,LV/8,-0.72,0.78,17,5,14|10,166.6,1.666666667,0,
Baker Mayfield,QB,CLE/13,-0.84,0.77,18,5,12|09,141.1,-0.25,0,
Tua Tagovailoa,QB,MIA/14,-1,2.09,19,5,13|02,146.9,1.666666667,0,
Daniel Jones,QB,NYG/10,-1.02,1.37,20,5,14|05,161,9.916666667,0,
Ryan Fitzpatrick,QB,WAS/9,-1.7,1.72,21,5,13|03,147.7,1.416666667,0,
Ben Roethlisberger,QB,PIT/7,-1.75,1.23,22,5,13|10,154.2,-0.333333333,0,
Sam Darnold,QB,CAR/13,-2.26,1.35,23,6,16|06,186.5,4.083333333,0,
Jared Goff,QB,DET/9,-2.5,1.57,24,6,18|08,212.9,-0.083333333,0,
Zach Wilson,QB,NYJ/6,-2.62,1.64,25,6,17|05,197.9,0.166666667,0,
Deshaun Watson,QB,HOU/10,-3.56,4.71,26,7,21|11,251.8,-10.08333333,0,
Justin Fields,QB,CHI/10,-4.34,4.84,27,7,14|08,164.4,-0.916666667,0,
Carson Wentz,QB,IND/14,-4.38,3.52,28,7,17|06,198.2,5,0,
Trey Lance,QB,SF/6,-4.72,5.01,29,7,16|03,183.2,-1.333333333,0,
