Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECR VS. ADP,PS,Baseline,Args
Josh Allen,QB,BUF/7,5.25,1.13,1.0,1,4|02,-1.0,0.77,QB:12,10
Patrick Mahomes,QB,KC/8,3.23,1.02,2.0,2,5|09,-1.6,0.64,RB:31,1
Justin Herbert,QB,LAC/8,2.74,0.86,3.0,2,5|04,-0.8,0.52,WR:35,2
Lamar Jackson,QB,BAL/10,2.6,1.19,4.0,2,6|02,-0.3,0.41,TE:13,2
Kyler Murray,QB,ARI/13,2.55,0.86,5.0,2,6|08,-0.2,0.3,,1
Jalen Hurts,QB,PHI/7,2.45,0.97,6.0,2,7|02,0.2,0.19,,1
Tom Brady,QB,TB/11,1.54,0.7,7.0,3,9|03,-0.5,0.12,,0
Joe Burrow,QB,CIN/10,1.04,0.86,8.0,3,8|07,-2.3,0.08,,0
Dak Prescott,QB,DAL/9,0.87,0.89,9.0,3,9|08,-0.9,0.04,,0
Russell Wilson,QB,DEN/9,0.52,1.21,10.0,3,9|04,-0.8,0.02,,4.0
Aaron Rodgers,QB,GB/14,0.31,0.93,11.0,4,11|01,-0.9,0.01,,6.0
Trey Lance,QB,SF/9,0.15,1.03,12.0,4,10|04,0.6,0.0,,6.0
Matthew Stafford,QB,LAR/7,-0.11,0.86,13.0,4,10|10,-0.6,0.0,,0.04
Kirk Cousins,QB,MIN/7,-0.47,0.78,14.0,4,11|08,1.1,0.0,,0.1
Derek Carr,QB,LV/6,-0.92,0.71,15.0,4,11|09,-0.2,0.0,,0.1
Tua Tagovailoa,QB,MIA/11,-2.21,0.89,16.0,5,13|06,1.3,0.0,,0.0
Trevor Lawrence,QB,JAX/11,-2.4,0.91,17.0,5,14|03,3.3,0.0,,0.0
Justin Fields,QB,CHI/14,-2.43,0.96,18.0,5,13|08,1.9,0.0,,-2.0
Ryan Tannehill,QB,TEN/6,-2.83,1.13,19.0,5,16|07,1.2,0.0,,0.0
Daniel Jones,QB,NYG/9,-2.88,1.58,20.0,5,17|02,7.8,0.0,,0.5
Matt Ryan,QB,IND/14,-3.08,1.01,21.0,5,15|07,3.0,0.0,,0.0
Jameis Winston,QB,NO/14,-3.17,1.38,22.0,5,15|10,3.3,0.0,,0.0
Carson Wentz,QB,WAS/14,-3.54,0.99,23.0,6,20|02,0.5,0.0,,0.0
Mac Jones,QB,NE/10,-3.57,1.02,24.0,6,17|06,0.1,0.0,,2022-08-29
Jared Goff,QB,DET/6,-4.06,0.72,25.0,6,20|05,1.4,0.0,,
