Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECR VS. ADP,PS,Baseline
Josh Allen,QB,BUF/7,14.8,2.56,1.0,1,1|01,0.0,0.93,QB:30
Patrick Mahomes,QB,KC/8,12.89,2.81,2.0,2,1|06,0.0,0.87,RB:37
Justin Herbert,QB,LAC/8,12.27,2.39,3.0,2,1|04,0.0,0.82,WR:45
Tom Brady,QB,TB/11,11.35,2.49,4.0,3,3|07,0.0,0.77,TE:17
Kyler Murray,QB,ARI/13,11.25,2.1,5.0,3,2|03,0.0,0.72,
Lamar Jackson,QB,BAL/10,11.02,2.59,6.0,3,1|09,0.0,0.67,
Jalen Hurts,QB,PHI/7,10.56,2.31,7.0,3,2|04,0.0,0.62,
Dak Prescott,QB,DAL/9,10.22,2.6,8.0,4,3|11,0.0,0.57,
Joe Burrow,QB,CIN/10,10.2,2.56,9.0,4,2|11,0.0,0.53,
Aaron Rodgers,QB,GB/14,9.73,2.61,10.0,4,4|08,0.0,0.48,
Russell Wilson,QB,DEN/9,9.7,2.44,11.0,4,3|09,0.0,0.44,
Matthew Stafford,QB,LAR/7,9.4,2.38,12.0,4,4|07,0.0,0.39,
Kirk Cousins,QB,MIN/7,8.9,2.19,13.0,5,5|02,0.0,0.35,
Trey Lance,QB,SF/9,8.27,2.43,14.0,5,4|04,0.0,0.32,
Derek Carr,QB,LV/6,8.05,2.53,15.0,5,5|01,0.0,0.28,
Tua Tagovailoa,QB,MIA/11,6.06,2.5,16.0,6,6|03,0.0,0.25,
Trevor Lawrence,QB,JAX/11,5.49,2.72,17.0,6,6|10,0.0,0.23,
Ryan Tannehill,QB,TEN/6,5.47,2.49,18.0,6,8|07,0.0,0.2,
Matt Ryan,QB,IND/14,5.35,2.3,19.0,6,7|07,0.0,0.18,
Jameis Winston,QB,NO/14,5.32,2.3,20.0,6,7|02,0.0,0.15,
Justin Fields,QB,CHI/14,5.31,2.62,21.0,6,6|06,0.0,0.13,
Daniel Jones,QB,NYG/9,5.07,2.58,22.0,6,8|12,0.0,0.11,
Mac Jones,QB,NE/10,4.9,2.1,23.0,6,9|03,0.0,0.08,
Carson Wentz,QB,WAS/14,4.81,2.51,24.0,6,9|10,0.0,0.06,
Jared Goff,QB,DET/6,4.14,2.61,25.0,7,10|03,0.0,0.04,
Zach Wilson,QB,NYJ/10,3.41,2.82,26.0,7,10|05,0.0,0.03,
Davis Mills,QB,HOU/6,2.9,2.47,27.0,7,11|03,0.0,0.02,
Baker Mayfield,QB,CAR/13,2.29,2.5,28.0,8,10|12,0.0,0.0,
Marcus Mariota,QB,ATL/14,1.08,1.72,29.0,8,13|03,0.0,0.0,
Mitchell Trubisky,QB,PIT/9,-1.46,3.23,30.0,9,13|11,0.0,0.0,
Geno Smith,QB,SEA/11,-2.59,3.78,31.0,9,21|12,0.0,0.0,
Jacoby Brissett,QB,CLE/9,-3.29,2.93,32.0,9,21|08,0.0,0.0,
Deshaun Watson,QB,CLE/9,-4.31,4.52,33.0,10,13|05,0.0,0.0,
Kenny Pickett,QB,PIT/9,-4.46,4.85,34.0,10,19|06,0.0,0.0,
Drew Lock,QB,SEA/11,-4.74,4.07,35.0,10,18|08,0.0,0.0,
Desmond Ridder,QB,ATL/14,-6.13,4.82,36.0,11,25|09,0.0,0.0,
Matt Corral,QB,CAR/13,-10.32,4.73,37.0,11,30|07,0.0,0.0,
Jonathan Taylor,RB,IND/14,11.28,1.94,1.0,1,1|02,0.0,0.93,
Christian McCaffrey,RB,CAR/13,9.7,1.72,2.0,2,1|03,0.0,0.87,
Derrick Henry,RB,TEN/6,8.86,1.72,3.0,3,1|11,0.0,0.81,
Austin Ekeler,RB,LAC/8,8.7,1.33,4.0,3,1|05,0.0,0.75,
Dalvin Cook,RB,MIN/7,7.34,1.08,5.0,4,1|08,0.0,0.71,
Joe Mixon,RB,CIN/10,7.21,1.03,6.0,4,2|02,0.0,0.66,
Najee Harris,RB,PIT/9,7.12,1.23,7.0,4,2|01,0.0,0.61,
Alvin Kamara,RB,NO/14,6.51,1.66,8.0,5,2|12,0.0,0.57,
DAndre Swift,RB,DET/6,6.07,1.23,9.0,5,2|06,0.0,0.53,
Leonard Fournette,RB,TB/11,5.98,1.26,10.0,5,3|04,0.0,0.5,
Saquon Barkley,RB,NYG/9,5.67,1.29,11.0,6,2|10,0.0,0.46,
Aaron Jones,RB,GB/14,5.59,1.23,12.0,6,3|01,0.0,0.42,
James Conner,RB,ARI/13,5.42,1.21,13.0,6,4|03,0.0,0.39,
Nick Chubb,RB,CLE/9,5.31,0.99,14.0,6,3|02,0.0,0.36,
Javonte Williams,RB,DEN/9,5.0,1.0,15.0,7,3|06,0.0,0.32,
Ezekiel Elliott,RB,DAL/9,4.89,1.28,16.0,7,4|06,0.0,0.29,
David Montgomery,RB,CHI/14,4.02,1.45,17.0,8,5|04,0.0,0.27,
Cam Akers,RB,LAR/7,3.78,1.52,18.0,8,4|12,0.0,0.24,
Travis Etienne,RB,JAX/11,3.48,1.33,19.0,9,5|03,0.0,0.22,
Breece Hall,RB,NYJ/10,3.34,1.06,20.0,9,4|11,0.0,0.2,
JK Dobbins,RB,BAL/10,3.29,1.12,21.0,9,5|10,0.0,0.18,
Josh Jacobs,RB,LV/6,3.19,1.27,22.0,9,6|05,0.0,0.16,
Elijah Mitchell,RB,SF/9,2.63,1.19,23.0,10,5|11,0.0,0.14,
AJ Dillon,RB,GB/14,2.42,0.93,24.0,10,6|04,0.0,0.13,
Antonio Gibson,RB,WAS/14,2.4,1.39,25.0,10,6|08,0.0,0.11,
Cordarrelle Patterson,RB,ATL/14,2.23,1.4,26.0,10,9|05,0.0,0.1,
Damien Harris,RB,NE/10,2.15,1.41,27.0,10,7|06,0.0,0.08,
Miles Sanders,RB,PHI/7,2.05,1.14,28.0,10,7|05,0.0,0.07,
Clyde Edwards-Helaire,RB,KC/8,1.93,1.24,29.0,10,7|11,0.0,0.06,
Tony Pollard,RB,DAL/9,1.6,1.03,30.0,11,8|08,0.0,0.05,
Devin Singletary,RB,BUF/7,1.44,1.46,31.0,11,9|01,0.0,0.04,
Kareem Hunt,RB,CLE/9,1.3,1.12,32.0,11,8|06,0.0,0.03,
Chase Edmonds,RB,MIA/11,1.2,1.12,33.0,11,8|02,0.0,0.02,
Rhamondre Stevenson,RB,NE/10,1.04,1.03,34.0,12,8|09,0.0,0.01,
Rashaad Penny,RB,SEA/11,0.91,1.8,35.0,12,8|05,0.0,0.01,
Melvin Gordon,RB,DEN/9,0.7,0.98,36.0,12,9|04,0.0,0.0,
Ken Walker,RB,SEA/11,0.62,0.75,37.0,12,9|07,0.0,0.0,
Dameon Pierce,RB,HOU/6,-0.78,1.95,38.0,13,11|01,0.0,0.0,
Darrell Henderson,RB,LAR/7,-0.86,1.04,39.0,13,11|02,0.0,0.0,
James Robinson,RB,JAX/11,-0.99,1.47,40.0,13,11|10,0.0,0.0,
James Cook,RB,BUF/7,-1.03,1.58,41.0,13,10|07,0.0,0.0,
Michael Carter,RB,NYJ/10,-1.2,1.24,42.0,13,10|11,0.0,0.0,
Jamaal Williams,RB,DET/6,-1.33,0.76,43.0,13,12|09,0.0,0.0,
Nyheim Hines,RB,IND/14,-1.52,1.11,44.0,14,11|11,0.0,0.0,
JD McKissic,RB,WAS/14,-1.65,0.86,45.0,14,12|08,0.0,0.0,
Kenneth Gainwell,RB,PHI/7,-1.77,0.94,46.0,14,12|04,0.0,0.0,
Brian Robinson,RB,WAS/14,-2.02,1.33,47.0,14,14|07,0.0,0.0,
Mark Ingram,RB,NO/14,-2.19,0.85,48.0,14,16|01,0.0,0.0,
Alexander Mattison,RB,MIN/7,-2.35,1.27,49.0,15,11|09,0.0,0.0,
Raheem Mostert,RB,MIA/11,-2.42,1.55,50.0,15,13|04,0.0,0.0,
Marlon Mack,RB,HOU/6,-2.62,2.21,51.0,15,15|04,0.0,0.0,
Gus Edwards,RB,BAL/10,-2.66,1.05,52.0,15,15|01,0.0,0.0,
Rex Burkhead,RB,HOU/6,-2.76,1.52,53.0,15,19|08,0.0,0.0,
Isaiah Spiller,RB,LAC/8,-2.78,1.69,54.0,15,12|11,0.0,0.0,
Rachaad White,RB,TB/11,-2.79,1.32,55.0,15,14|09,0.0,0.0,
Khalil Herbert,RB,CHI/14,-3.07,1.51,56.0,16,13|01,0.0,0.0,
Damien Williams,RB,ATL/14,-3.25,1.42,57.0,16,18|10,0.0,0.0,
Tyler Allgeier,RB,ATL/14,-3.58,2.05,58.0,16,13|12,0.0,0.0,
DOnta Foreman,RB,CAR/13,-3.59,1.69,59.0,16,15|11,0.0,0.0,
Zamir White,RB,LV/6,-3.82,1.47,60.0,17,16|10,0.0,0.0,
Jerick McKinnon,RB,KC/8,-3.9,1.44,61.0,17,19|01,0.0,0.0,
Boston Scott,RB,PHI/7,-3.96,1.25,62.0,17,17|06,0.0,0.0,
Sony Michel,RB,MIA/11,-4.13,1.14,63.0,17,15|07,0.0,0.0,
Samaje Perine,RB,CIN/10,-4.19,0.99,64.0,17,18|04,0.0,0.0,
Dontrell Hilliard,RB,TEN/6,-4.27,1.47,65.0,17,24|10,0.0,0.0,
Matt Breida,RB,NYG/9,-4.31,1.1,66.0,17,20|08,0.0,0.0,
Ronald Jones,RB,KC/8,-4.62,2.36,67.0,18,14|12,0.0,0.0,
Isaih Pacheco,RB,KC/8,-4.74,1.65,68.0,18,,,0.0,
Hassan Haskins,RB,TEN/6,-4.82,1.63,69.0,18,21|05,0.0,0.0,
Ameer Abdullah,RB,LV/6,-4.92,1.29,70.0,18,26|12,0.0,0.0,
Tyrion Davis-Price,RB,SF/9,-4.94,1.91,71.0,18,18|01,0.0,0.0,
Pierre Strong,RB,NE/10,-5.06,1.02,72.0,18,22|01,0.0,0.0,
Eno Ben,RB,ARI/13,-5.12,1.5,73.0,18,20|10,0.0,0.0,
Mike Davis,RB,BAL/10,-5.49,1.49,74.0,19,20|01,0.0,0.0,
Joshua Kelley,RB,LAC/8,-5.56,1.61,75.0,19,22|02,0.0,0.0,
Jeff Wilson,RB,SF/9,-5.56,1.15,76.0,19,19|02,0.0,0.0,
Brandon Bolden,RB,LV/6,-5.71,1.37,77.0,19,34|09,0.0,0.0,
DeeJay Dallas,RB,SEA/11,-6.03,1.04,78.0,20,27|05,0.0,0.0,
Duke Johnson,RB,BUF/7,-6.24,2.15,79.0,20,23|08,0.0,0.0,
Kyren Williams,RB,LAR/7,-6.35,0.87,80.0,20,22|06,0.0,0.0,
Phillip Lindsay,RB,IND/14,-6.36,1.16,81.0,20,21|04,0.0,0.0,
